Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W21,,X,,,,,,,X,X,,,,,,,
2019-W22,,X,,,,,,,X,X,,,,,,,X
2019-W23,,X,,,,,,,,X,,,,,,,X
2019-W24,,X,,,,,,,,,,,,,,X,X
2019-W25,,X,,,,,,,,,,,,,,,X
2019-W26,,X,,,,,,,,,,,,,,X,
2020-W22,,X,X,,,,,,,X,,,,,,,
2020-W23,,X,X,,,,,,,X,,,X,,,,
2020-W24,,X,X,,,,,,,,,,X,,,,
2021-W20,,X,,,,,,,,,,,,,,,
2021-W21,,X,,,,,,,,X,,,,,,,
2021-W22,,X,,,,X,,,X,X,,,,,,,X
2021-W23,,X,,,,,,,,,,,,,,,X
2021-W24,,X,,,,,,,,X,,,X,,,X,X
2021-W25,,X,,,,,,,,X,,,,,,X,X
2021-W26,,X,,,,,,,,,,,,,,X,X
2021-W27,,,,,,,,,,,,,,,,X,X
2021-W28,,,,,,,,,,,,,,,,X,X
2022-W19,,X,,,,,,,,,,,,,,,
2022-W20,,X,,,,,,,,,,,,,,,
2022-W21,,X,,,,,,,,,,,,,,,
2022-W22,,X,,,,,,,,,,,,,,,
2022-W23,,X,,,,,,,,X,,,,,,,
2022-W24,,X,,,,,,,,,,,,,,,X
2022-W25,,X,,,,,,,,,,,,,,,X
2022-W26,,X,,,,,,,,,,,,,,,X
2022-W27,,X,,,,,,,,,,,,,,,X
2022-W36,,X,,,,,,,,,,,,,,,
2023-W22,,,,,,,,X,,X,,,,,,,
2023-W23,,,,,,,,,,X,,,,,,,
2023-W24,,,,,,,,,,X,,,,,,,
2023-W25,,,,,,,,,,X,,,,,,X,X
2023-W27,,,,,,,,,,,,,,,,X,
2024-W19,,X,,,,,,X,,,,,,,,,
2024-W20,,,,,,X,,,,X,,,,,,,
2024-W21,,X,,,,,,X,X,X,,,,,,,X
2024-W22,,X,,,,,,,,X,,,,,,X,X
2024-W23,,X,,,,,,,,X,,,,,,X,X
2024-W24,,X,,,,,,,X,X,,,,,,X,
2024-W25,,X,,,,,,X,,,,,,,,X,
2024-W26,,X,,,,,,X,X,,,,,,,,
2024-W27,,X,,,,,,X,X,,,,,,,,
2024-W28,,X,,,,,,X,,,,,,,,,
2024-W29,,X,,,,,,X,,,,,,,,,
2024-W30,,X,,,,,,,X,,,,,,,,
2024-W31,,X,,,,,,,,,,,,,,X,
2025-W19,,X,,,,,,,,,,,,,,,
2025-W20,,X,,,,,,,,,,,,,,,
2025-W21,,X,,,,,,,,,,,,,,,
2025-W22,,X,,,,,,,,X,,,,,,,
2025-W23,,X,,,,,,,,X,,,,,,,
2025-W24,,X,,,,,,,,X,,,,,,,X
2025-W25,,X,,,,,,,,X,,,,,,,X
2025-W26,,X,,,,,,,,X,,,,,,,X
2026-W20,,X,,,,,,,,,,,,,,,
2026-W21,,X,,,,,,X,,,,,,,,,
2026-W22,,X,,,,,,,,,,,,,,,
2026-W24,,X,,,,,,,,X,,,,,,,
