Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W43,,,,,,,,,X,,,,,,,,
2018-W44,,,,,,,,,X,,,,,,,,
2019-W04,,,,,,,,,,X,,,,,,,
2019-W05,,,,,,,,,,X,,,,,,,
2019-W06,,,,,,,,,,X,,,,,,,
2019-W07,,,,,,,,,,X,,,,,,,
2019-W08,,,,,,,,,,X,,,,,,,
2019-W09,,,,,,,,,,X,,,,,,,
2019-W10,,,,,,,,,,X,,,,,,,
2019-W11,,,,,,,,,,X,,,,,,,
2019-W12,,,,,,,,,,X,,,,,,,
2019-W13,,,,,,,X,,,X,,,,,,,
2019-W14,,,,,,,,,,X,,,,,,,
2019-W15,,,,,,,,,,X,,,,,,,
2019-W16,,,,,,,,,,X,,,,,,,
2019-W17,,,,,,,,,,X,,,,,,,
2019-W20,,,,,,,,,,X,,,,,,,
2019-W21,,,,,,,,,,X,,,,,,,
2019-W22,,,,,,,,,,X,,,,,,,X
2019-W23,,,,,,,,,,,,,,,,,X
2019-W24,,,,,,,,,,,,,,,,,X
2020-W10,,,,,,,,,,X,,,,,,,
2020-W13,,,,,,,,,,X,,,,,,,
2020-W14,,,,,,,,,,X,,,,,,,
2020-W15,,,,,,,,,,X,,,,,,,
2020-W17,,,,,,,,,,X,,,,,,,
2020-W19,,,,,,,,,,X,,,,,,,
2020-W20,,,,,,,,,,X,,,,,,,
2020-W21,,,,,,,,,,X,,,,,,,
2020-W22,,,,,,,,,,X,,,,,,,
2020-W23,,,,,,,,,,X,,,,,,,
2020-W24,,,,,,,,,,X,,,,,,,
2021-W23,,,,,,X,,,,X,,,,,,,
2021-W24,,,,,,,,,,X,,,,,,,
2021-W25,,,,,,,,,,X,,,,,,,
2021-W26,,,,,,,,,,X,,,,,,,
2021-W27,,,,,,,,,,X,,,,,,,
2022-W19,,,,,,,,,,X,,,,,,,
2022-W20,,,,,,,,,,X,,,,,,,X
2022-W21,,,,,,,,,,,,,,,,,X
2022-W22,,,,,,,,,,X,,,,,,,X
2022-W23,,,,,,,,,,X,,,,,,,X
2023-W20,,,,,,,,,,X,,,,,,,
2023-W21,,,,,,,,,,X,,,,,,,
2023-W22,,,,,,,,,,X,,,,,,,
2023-W49,,,,,,,,,,X,,,,,,,
2023-W50,,,,,,,,,,,,,,,,X,
2024-W21,,,,,,X,,X,,,,,,,,,
2024-W22,,,,,,X,,,,,,,,,,X,X
2024-W23,,,,,,X,,,,,,,,,,X,
2024-W24,,,,,,X,,,,,,,,,,X,
2024-W25,,,,,,X,,X,,,,,,,,X,
2024-W26,,,,,,X,,X,,,,,,,,,
2024-W27,,,,,,X,,,,,,,,,,,
2024-W28,,,,,,X,,,,,,,,,,,
2024-W29,,,,,,X,,,,,,,,,,,
2024-W30,,,,,,X,,,,,,,,,,,
2024-W31,,,,,,,,,,,,,,,,X,
2024-W32,,,,,,,,,,,,,,,,X,
2024-W52,,,,,,,,,,X,,,,,,,
2025-W03,,,,,,,,,,X,,,,,,,
2025-W04,,,,,,,,,,X,,,,,,,
2025-W07,X,,,,,,,,,,,,,,,,
2025-W17,,,,,,,,,,X,,,,,,,
2025-W18,,,,,,X,,,,,,,,,,,
2025-W19,,,,,,X,,,,,,,,,,,
2025-W20,,,,,,X,,,,X,,,,,,,
2025-W21,,,,,,X,,,,X,,,,,,,
2025-W22,,,,,,X,,,,X,,,,,,X,
2025-W23,,,,,,X,,,,X,,,,,,,
2025-W44,,,,,,X,,,,,,,,,,,
2026-W08,,,,,,,,,,X,,,,,,,
2026-W09,,,,,,,,,,X,,,,,,X,
2026-W10,,,,,,,,,,X,,,,,,,
2026-W11,,,,,,,,,,X,,,,,,,
2026-W12,,X,,,,X,,,,X,,,,,,,X
2026-W13,,X,,,,X,,,,X,,,,,,,X
2026-W14,,X,,,,X,,,X,X,,,,,,,X
2026-W15,,X,,,,X,,,,X,,,,,,,X
2026-W16,,X,,,,X,,,,X,,,X,,,,X
2026-W17,,X,,,,X,,,,X,,,,,,,
2026-W18,,X,,,,X,,,,X,,,,,,,
2026-W19,,X,,,,X,,X,,X,,,,,,X,
2026-W20,,,,,,X,,,,X,,,,,,,
2026-W21,,,,,,,,,,X,,,,,,,X
2026-W22,,,,,,,,,,X,,,,,,,X
