Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2020-W37,,X,,,,,,,,,,,,,,,
2020-W38,,X,X,,,,,,,X,X,,X,X,,X,X
2020-W39,,X,X,,,,,,,X,X,,,X,,X,X
2020-W40,,X,X,,,,,,,X,,,,X,,X,
2020-W41,,,X,,,,,,,X,,,,,,X,
2022-W29,,X,,,,,,,X,X,,,,,,,
2022-W30,,X,,,,,,,X,X,,,,,,,
2025-W28,,X,,,,X,,,,X,,,,,,X,X
2025-W29,,X,,,,X,,,,X,,,,,,X,X
2025-W30,,X,,,,X,,,X,X,,,,,,X,X
2025-W31,,X,,,,X,,,X,X,,,,,,X,X
2025-W32,,X,,,,X,,,X,X,,,,,,X,X
2025-W34,,X,,,,X,,,X,X,,,,,,,X
2025-W35,,X,,,,X,,,X,,,,,,,,X
2025-W36,,X,,,,X,,,X,X,,,,,,,X
2025-W37,,X,,,,X,,,X,X,,,X,,,,X
2025-W38,,X,,,,X,,X,,X,,,,,,X,X
2025-W39,,X,,,,X,,X,,X,,,,,,X,X
2025-W40,,X,,,,X,,X,X,X,,,X,,,X,X
2025-W41,,X,,,,,,,,X,,,,,,,
2025-W42,,,,,,,,,,X,,,X,,,X,
2026-W24,,X,,,,,,,,,,,,,,,
