Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W26,,X,,,,,,,,,,,,,,,
2018-W28,,X,,,,,,,,,,,,,,,
2018-W40,,X,,,,,,,,,,,,,,,
2018-W43,,X,,,,,,,,,,,,,,,
2018-W44,,X,,,,,,,,,,,,,,,
2018-W45,,X,,,,,,,,,,,,,,,
2018-W46,,X,,,,,,,X,,,,,,,,
2018-W47,,X,,,,,,,X,,,,,,,,
2018-W48,,X,,,,,,,X,,,,,,,,
2018-W49,,X,,,,,,,X,,,,,,,,
2018-W50,,X,,,,,,,X,,,,,,,,
2018-W51,,X,,,,,,,X,X,,,,,,,
2018-W52,,,,,,,,,X,,,,,,,,
2019-W01,,X,,,,,,,,X,,,,,,,
2019-W03,,X,,,,,,,X,X,,,,,,,
2019-W04,,X,,,,,,,X,X,,,,,,,
2019-W05,,X,,,,,,,X,X,,,,,,,
2019-W06,,X,,,,,,,,X,,,,,,,
2019-W07,,X,,,,,,,X,X,,,,,,,
2019-W08,,X,,,,,,,X,X,,,,,,,
2019-W09,,X,,,,,,,X,X,,,,,,,
2019-W10,,X,,,,,,,X,X,,,,,,,
2019-W11,,X,,,,,,,X,X,,,,,,,
2019-W12,,X,,,,,,,X,X,,,,,,,
2019-W13,,X,,,,,,,X,X,,,,,,,
2019-W14,,X,,,,,,,X,X,,,,,,,
2019-W15,,X,,,,,,,X,X,,,,,,,
2019-W16,,X,,,,,,,X,X,,,,,,,
2019-W17,,X,,,,,,,X,X,,,,,,,
2019-W20,,X,,,,,,,,X,,,,,,,
2019-W21,,X,,,,,,,,X,,,X,,,,
2019-W22,,X,,,,,,,,X,,,,,,,
2019-W23,,X,,,,,,,,X,,,,,,,
2019-W24,,X,,,,,,,,X,,,,,,,
2019-W25,,X,,,,,,,,X,,,,,,,
2019-W26,,X,,,,,,,,X,,,,,,,
2019-W27,,X,,,,,,,,X,,,,,,,
2019-W28,,X,,,,,,,,X,,,,,,,X
2019-W29,,X,,,,,,,,X,,,,,,,X
2019-W30,,X,,,,,,,,,,,,,,,X
2019-W38,,X,,,,,,,,,,,,,,,
2019-W39,,X,,,,,,,,,,,,,,,
2019-W40,,X,,,,,,,,,,,,,,,
2019-W41,,X,,,,,,,,,,,,,,,
2019-W42,,X,,,,,,,,,,,,,,,
2019-W43,X,,,,,,,,,,,,,,,,
2019-W44,,X,,,,,,,,,,,,,,,
2019-W47,,X,,,,,,,,,,,,,,,
2019-W48,,X,,,,,,,,,,,,,,,
2019-W49,,X,,,,,,,,,,,,,,,
2019-W50,,X,,,,,,,,,,,,,,,
2019-W51,,X,,,,,,,,,,,,,,,
2020-W01,,X,,,,,,,,,,,,,,,
2020-W02,,X,,,,,,,,,,,,,,,
2020-W03,,X,,,,,,,,,,,,,,,
2020-W04,,X,,,,,,,,,,,,,,,
2020-W05,,X,,,,,,,,,,,,,,,
2020-W06,,X,,,,,,,,,,,,,,,
2020-W08,,X,,,,,,,,,,,,,,,
2020-W09,,X,,,,,,,,,,,,,,,
2020-W10,,X,,,,,,,,,,,,,,,
2020-W11,,X,,,,,,,,,,,,,,,
2020-W18,,X,,,,,,,,,,,,,,,
2020-W19,,X,,,,,,,,,,,,,,,
2020-W20,,X,,,,,,,,,,,,,,,
2020-W21,,X,,,,,,,,,,,,,,,
2020-W22,,X,,,,,,,,,,,,,,,
2020-W23,,X,,,,,,,,,,,,,,,
2020-W24,,X,,,,,,,,,,,,,,,
2020-W25,,X,,,,,,,,,,,,,,,
2020-W41,,X,,,,,,,,,,,,,,,
2020-W42,,X,,,,,,,,,,,,,,,
2020-W43,,X,,,,,,,,,,,,,,,
2020-W44,,X,,,,,,,,,,,,,,,
2020-W45,,X,,,,,,,,,,,,,,,
2020-W47,,X,,,,,,,,,,,,,,,
2021-W41,,X,,,,,,,,,,,,,,,
2021-W42,,X,,,,,,,,,,,,,,,
2021-W43,,X,,,,,,,,,,,,,,,
2021-W44,,X,,,,,,,,,,,,,,,
2021-W45,,X,,,,,,,,,,,,,,,
2021-W46,,X,,,,,,,,X,,,,,,,
2021-W47,,X,,,,,,,,X,,,,,,,
2021-W48,,X,,,,,,,,X,,,,,,,
2021-W49,,X,,,,,,,,X,,,,,,,
2021-W50,,X,,,,,,,,X,,,,,,,
2021-W51,,X,,,,,,,,X,,,,,,,
2021-W52,,X,,,,,,,,X,,,,,,,
2022-W01,,,,,,,,,,X,,,,,,,
2022-W02,,X,,,,,,,,X,,,,,,,
2022-W03,,,,,,,,,,X,,,,,,,
2022-W40,,X,,,,,,,,,,,,,,,
2022-W41,,X,,,,,,,,,,,,,,,
2022-W42,,X,,,,,,,,,,,,,,,
2022-W43,,X,,,,,,,,,,,,,,,
2022-W44,,X,,,,,,,,,,,,,,,
2024-W47,,,,,,,,,,X,,,,,,,
2024-W49,,,,,,,,,,X,,,,,,,
2024-W50,,,,,,,,,,X,,,,,,,
2024-W51,,,,,,,,,,X,,,,,,,
2024-W52,,,,,,,,,,X,,,,,,,
2025-W02,,,,,,,,,,X,,,,,,,
2025-W03,,,,,,,,,,X,,,,,,,
2025-W04,,,,,,,,,,X,,,,,,,
2025-W05,,,,,,,,,,X,,,,,,,
2025-W06,,,,,,,,,,X,,,,,,,
2025-W07,,,,,,,,,,X,,,,,,,
2025-W08,,,,,,,,,,X,,,,,,,
2025-W09,,X,,,,,,,,X,,,,,,,
2025-W10,,X,,,,,,,,X,,,,,,,
2025-W11,,X,,,,,,,,X,,,,,,,
2025-W12,,X,,,,,,,,X,,,,,,,
2025-W13,,X,,,,,,,,X,,,,,,,X
2025-W14,,X,,,,,,,,X,,,,,,,X
2025-W15,,X,,,,,,,,X,,,,,,,X
2025-W16,,X,,,,,,,,X,,,,,,,X
2025-W17,,X,,,,,,,,X,,,,,,,X
2025-W18,,,,,,,,,,,,,,,,,X
2025-W19,,X,,,,,,,,,,,,,,,X
2025-W20,,X,,,,,,,,,,,,,,,X
2025-W21,,X,,,,,,,,,,,,,,,X
2025-W22,,X,,,,,,,,,,,,,,,X
2025-W23,,X,,,,,,,,,,,,,,,X
2025-W24,,X,,,,,,,,,,,,,,,X
2025-W25,,X,,,,,,,,,,,,,,,X
2025-W26,,X,,,,,,,,,,,,,,,X
2025-W27,,X,,,,,,,,,,,,,,,X
2025-W28,,X,,,,,,,,,,,,,,,X
2025-W29,,X,,,,,,,,,,,,,,,X
2025-W30,,X,,,,,,,,,,,,,,,X
2025-W31,,X,,,,,,,,,,,,,,,X
2026-W24,,,,,,,,,,X,,,,,,,X
