Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W31,,X,,,,,,,,,,,,,,,
2019-W32,,X,,,,,,,X,,,,,,,,X
2019-W33,,X,,,,,,,X,,,,,,,,X
2019-W34,,X,,,,,,,X,X,,,,,,,X
2019-W35,,X,,,,,,,X,X,,,,,,,X
2019-W36,,X,,,,,,,X,X,,,,,,,X
2019-W37,,X,,,,,,,,X,,,,,,,X
2019-W38,,X,,,,,,,,,,,,,,,X
2019-W39,,X,,,,,,,,X,,,,,,,X
2019-W40,,X,,,,,,,,X,,,,,,,X
2019-W41,,,,,,,,,,,,,,,,,X
2019-W42,,,,,,,,,,,,,,,,,X
2019-W43,,,X,,,,,,,,,,,,,,
2019-W44,,,,,,,,,,,,,,,,,X
2020-W33,,X,,,,,,,X,,,,,,,,
2020-W34,,X,,,,,,,X,,,,,,,,
2020-W36,,X,,,,,,,X,,,,,X,,,X
2020-W37,,X,,,,,,,,,,,,,,,X
2022-W37,,X,,,,X,,,X,X,,,,,,,X
2022-W38,,X,,,,X,,,X,X,,,,,,,
2022-W39,,X,,,,X,,,X,X,,,,,,,X
2022-W40,,X,,,,,,,X,X,,,,,,,X
2022-W41,,X,,,,,,,X,X,,,,,,,X
2022-W42,,X,,,,,,,X,,,,,,,,X
2022-W43,,X,,,,,,,,,,,,,,,X
2022-W44,,X,,,,,,,,,,,,,,,X
2022-W45,,X,,,,,,,,,,,,,,,X
2022-W46,,X,,,,,,,X,,,,,,,,X
2022-W47,,X,,,,,,,,,,,,,,,
2022-W48,,X,,,,,,,,,,,,,,,X
