Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W22,,,,,,,,,X,,,,,,,,
2019-W23,,,,,,,,,X,,,,,,,,
2019-W24,,,,,,,,,X,,,,,,,,
2019-W39,,,,,,,,,X,,,,,,,,
2019-W47,,,,,,,,,X,,,,,,,,
2019-W48,,,,,,,,,X,,,,,,,,
2019-W49,,,,,,,,,X,,,,,,,,
2019-W50,,,,,,,,,X,,,,,,,,
2019-W51,,,,,,,,,X,,,,,,,,
2020-W01,,,,,,,,,X,,,,,,,,
2020-W02,,,,,,,,,X,,,,,,,,
2020-W03,,,,,,,,,X,,,,,,,,
2020-W04,,,,,,,,,X,,,,,,,,
2020-W05,,,,,,,,,X,,,,,,,,
2020-W06,,,,,,,,,X,,,,,,,,
2020-W08,,,,,,,,,X,,,,,,,,
2020-W09,,,,,,,,,X,,,,,,,,
2020-W10,,,,,,,,,X,,,,,,,,
2020-W11,,,,,,,,,X,,,,,,,,
2020-W12,,,,,,,,,X,,,,,,,,
