Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W32,,X,,,,,,,,,,,,,,,
2018-W33,,X,,,,,,,,,,,,,,,
2018-W34,,X,,,,,,,X,,,,,,,,
2018-W35,,X,,,,,,,X,,,,,,,,
2018-W36,,X,,,,,,,X,,,,,,,,
2018-W38,,X,,,,,,,,,,,,,,,
2018-W39,,X,,,,,,,,,,,,,,,
2018-W46,,,,,,,,,,X,,,,,,,
2018-W47,,,,,,,,,,X,,,,,,,
2019-W33,,X,,,,,,,,,,,,,,,
2019-W34,,X,,,,,,,,,,,,,,,
2019-W35,,X,,,,,,,,,,,,,,,
2019-W36,,X,,,,,,,X,,,,,,,,
2019-W37,,X,,,,,,,,,,,,,,,
2019-W38,,X,,,,,,,X,,,,,,,,
2019-W39,,X,,,,,,,,,,,,,,,
2019-W40,,X,,,,,,,,,,,,,,,
2019-W41,,X,,,,,,,,,,,,,,,
2019-W42,,X,,,,,,,,,,,,,,,
2019-W43,X,,,,,,,,,,,,,,,,
2020-W33,,X,,,,,,,,,,,,,,,
2020-W34,,X,,,,,,,,,,,,,,,
2020-W36,,X,,,,,,,X,,,,,,,,X
2020-W37,,X,,,,,,,,X,,,,,,,X
2020-W38,,X,,,,,,,X,X,,,,,,,X
2020-W39,,X,,,,,,,X,X,,,,,,,X
2020-W40,,X,,,,,,,X,,,,,,,,X
2020-W41,,X,,,,,,,X,,,,,,,,X
2020-W42,,X,,,,,,,X,,,,,,,,X
2020-W43,,,,,,,,,X,,,,,,,,X
2020-W44,,,,,,,,,X,,,,,,,,X
2020-W45,,,,,,,,,,,,,,,,,X
2021-W34,,X,,,,,,,,X,,,,,,,
2021-W35,,X,,,,,,,,X,,,,,,,
2021-W36,,X,,,,X,,,,X,,,,,,,
2021-W37,,X,,,,X,,,X,X,,,,,,,
2021-W38,,X,,,,X,,,,X,,,,,,,
2021-W40,,X,,,,,,,,,,,,,,,
2021-W41,,,,,,,,,X,,,,,,,,
2022-W33,,X,,,,,,,X,,,,,,,,
2022-W34,,,,,,X,,,,,,,,,,,
2022-W36,,,,,,X,,,X,X,,,,X,,,
2022-W37,,X,,,,X,,,X,X,,,,,,,
2022-W38,,X,,,,,,,X,X,,,,,,,
2022-W39,,X,,,,,,,X,X,,,,,,,
2022-W40,,X,,,,,,,X,X,,,,,,,
2022-W41,,X,,,,,,,,X,,,,,,,
2023-W33,,X,,,,X,,,,,,,,,,,
2023-W34,,X,,,,X,,,,,,,,,,,
2023-W35,,X,,,,X,,,,X,,,,,,,
2023-W36,,X,,,,X,,,,X,,,,,,,
2023-W37,,X,,,,X,,,,X,,,,,,,
2023-W38,,X,,,,X,,,,,,,,,,,X
2023-W39,,X,,,,X,,,,,,,,,,,X
2023-W40,,,,,,X,,,,,,,,,,,X
2023-W41,,,,,,,,,,,,,,,,,X
2023-W42,,,,,,,,,,,,,,,,,X
2023-W43,,,,,,,,,,,,,,,,,X
2023-W44,,,,,,,,,,,,,,,,,X
2024-W31,,,,,,X,,,,,,,,,,,
2024-W32,,X,,,,X,,,,X,,,,,,,
2024-W33,,X,,,,X,,,,X,,,,,,,
2024-W34,,X,,,,X,,,X,X,,,,,,,
2024-W35,,X,,,,X,,,X,X,,,,,,,
2024-W36,,X,,,,X,,,X,X,,,,,,,
2024-W37,,X,,,,X,,,X,X,,,,,,,
2024-W38,,X,,,,,,,,X,,,,,,,
2024-W39,,X,,,,,,,,,,,,,,,
2024-W40,,X,,,,,,,,,,,,,,,
2024-W41,,,,,,,,,,X,,,,,,,
2024-W42,,,,,,,,,X,,,,,,,,
2025-W32,,X,,,,X,,,,,,,,,,,
2025-W34,,X,,,,X,,,X,,,,,,,,
2025-W35,,X,,,,X,,,X,,,,,,,,
2025-W36,,X,,,,X,,,X,,,,,,,,
