Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W38,,X,,,,,,,,X,,,,,,,X
2019-W39,,X,,,,,,,X,X,,,,,,,X
2019-W40,,X,,,,,,,,X,,,,,,,X
2019-W41,,X,,,,,,,,X,,,,,,,X
2019-W42,,X,,,,,,,,X,,,,,,,X
2019-W44,,X,,,,,,,X,X,,,,,,,X
2019-W45,,X,,,,,,,X,X,,,,,,,X
2019-W46,,X,,,,,,,X,X,,,,,,,X
2019-W47,,X,,,,,,,X,X,,,,,,,X
2019-W48,,X,,,,,,,X,X,,,,,,,X
2019-W49,,X,,,,,,,X,X,,,,,,,X
2019-W50,,X,,,,,,,X,X,,,X,,,,X
2019-W51,,X,,,,,,,X,X,,,,,,,X
2020-W01,,X,,,,,,,X,X,,,,,,,X
2020-W02,,X,,,,,,,X,X,,,,,,,X
2020-W03,,X,,,,,,,X,X,,,,,,,X
2020-W04,,X,,X,,,,,X,,,,,,,,X
2020-W05,,X,,,,,,,X,X,,,,,,,X
2020-W06,,X,,,,,,,X,,,,,,,X,X
