Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W28,,,,,,,,,,X,,,,,,,
2018-W32,,X,,,,,,,,X,,,,,,,X
2018-W33,,X,,,,,,,,X,,,,,,,X
2018-W34,,X,,,,,,,X,,,,,,,,X
2018-W35,,X,,,,,,,X,X,,,,,,,X
2018-W36,,X,,,,,,,X,X,,,,,,,X
2018-W38,,X,,,,,,,X,X,,,,,,,X
2018-W40,,X,,,,,,,X,X,,,,,,,X
2018-W41,,X,,,,,,,X,X,,,,,,,X
2018-W42,,X,,,,,,,,X,,,,,,,X
2018-W43,,,,,,,,,,X,,,,,,,X
2018-W44,,,,,,,,,,X,,,,,,,X
2018-W45,,,,,,,,,,X,,,,,,,X
2018-W46,,,,,,,,,,,,,,,,,X
2018-W47,,,,,,,,,,,,,,,,,X
2018-W48,,,,,,,,,,,,,,,,,X
2019-W32,,X,,,,,,,,,,,,,,,
2019-W33,,X,,,,,,,,X,,,,,,,
2019-W34,,X,,,,,,,,X,,,,,,,
2019-W35,,X,,,,,,,,X,,,,,,,X
2019-W36,,X,,,,,,,,X,,,,,,,X
2019-W37,,X,,,,,,,,X,,,,,,,X
2019-W38,,,,,,,,,,X,,,,,,,X
2019-W39,,,,,,,,,,,,,,,,,X
2019-W40,,,,,,,,,,,,,,,,,X
2020-W36,,X,,,,,,,,,,,,,,,X
2020-W37,,X,,,,,,,,,,,,X,,,X
2020-W38,,X,,,,,,,,X,,,,X,,,X
2020-W39,,X,,,,,,,,X,,,,X,,,X
2020-W40,,X,,,,,,,,,,,,,,,X
2020-W41,,X,,,,,,,,,,,,,,,X
2020-W42,,,,,,,,,,,,,,,,,X
2020-W43,,,,,,,,,,,,,,,,,X
2020-W44,,,,,,,,,,,,,,,,,X
2020-W45,,,,,,,,,,,,,,,,,X
2021-W34,,X,,,,,,,,,,,,,,,X
2021-W35,,X,,,,,,,,,,,,,,,X
2021-W36,,X,,,,X,,,,,,,,,,,X
2021-W37,,X,,,,X,,,X,,,,,,,,X
2021-W38,,,,,,X,,,,,,,,,,,X
2021-W41,,X,,,,X,,,X,,,,,,,,X
2021-W42,,,,,,X,,,X,,,,,,,,X
2021-W43,,,,,,X,,,X,,,,,,,,X
2021-W44,,,,,,X,,,X,,,,,,,,X
2021-W45,,,,,,X,,,,,,,,,,,
2021-W46,,,,,,X,,,X,,,,,,,,
2021-W49,,,,,,X,,,,,,,,,,,
2022-W33,,X,,,,,,,,,,,,,,,
2022-W34,,X,,,,,,,,,,,,,,,X
2022-W36,,X,,,,,,,,,,,,,,,X
2022-W37,,X,,,,X,,,X,,,,,,,,X
2022-W38,,X,,,,X,,,X,,,,,,,,
2022-W39,,X,,,,X,,,X,,,,,,,,X
2022-W40,,,,,,X,,,X,,,,,,,,X
2022-W41,,X,,,,X,,,X,,,,,,,,X
2022-W42,,X,,,,X,,,X,,,,,,,,X
2022-W43,,X,,,,X,,,,,,,,,,,X
2022-W44,,,,,,,,,,,,,,,,,X
2023-W33,,X,,,,,,,,,,,,,,,
2023-W34,,X,,,,,,,,,,,,,,,X
2023-W35,,X,,,,,,,,X,,,,,,,X
2023-W36,,X,,,,,,,,X,,,,,,,X
2023-W37,,X,,,,,,,,X,,,,,,,X
2023-W38,,X,,,,,,,,X,,,,,,,X
2023-W39,,X,,,,X,,,,X,,,,,,,X
2023-W40,,X,,,,X,,,,X,,,,,,,X
2023-W41,,X,,,,X,,,,X,,,,,,,X
2023-W42,,X,,,,X,,,,,,,,,,,X
2023-W43,,,,,,X,,,,,,,,,,,X
2023-W44,,,,,,X,,,,,,,,,,,X
2024-W21,,,,,,,,,,X,,,,,,,
2024-W22,,,,,,,,,,X,,,,,,,
2024-W23,,,,,,,,,,X,,,,,,,
2024-W32,,,,,,,,,,X,,,,,,,
2024-W33,,,,,,X,,,,X,,,,,,,
2024-W34,,,,,,X,,,,X,,,,,,,
2024-W35,,X,,,,X,,,,X,,,,,,,X
2024-W36,,X,,,,,,,,X,,,,,,,X
2024-W37,,X,,,,X,,,,X,,,,,,,X
2024-W38,,X,,,,,,,,X,,,,,,,X
2024-W39,,X,,,,X,,,,,,,,,,,X
2024-W40,,X,,,,X,,,,,,,,,,,X
2024-W41,,,,,,X,,,,X,,,,,,,X
2024-W42,,,,,,X,,,X,,,,,,,,X
2024-W43,,,,,,X,,,X,,,,,,,,X
2024-W44,,,,,,X,,,,,,,,,,,X
2024-W45,,,,,,X,,,,,,,,,,,X
2024-W46,,,,,,X,,,X,,,,,,,,X
2024-W47,,,,,,X,,,,,,,,,,,X
2024-W48,,,,,,X,,,X,,,,,,,,X
2024-W49,,,,,,X,,,,,,,,,,,X
2024-W50,,,,,,X,,,X,,,,,,,,X
2024-W51,,,,,,X,,,,,,,,,,,
2025-W01,,,,,,X,,,,,,,,,,,
2025-W02,,,,,,X,,,,,,,,,,,
2025-W03,,,,,,X,,,,,,,,,,,
2025-W04,,,,,,X,,,,,,,,,,,
2025-W05,,,,,,X,,,X,,,,,,,,
2025-W06,,,,,,,,,X,,,,,,,,
2025-W13,,,,,,,,,X,,,,,,,,
2025-W32,,X,,,,,,,,,,,,,,,
2025-W34,,X,,,,X,,,X,,,,,,,,
2025-W35,,X,,,,X,,,X,,,,,,,,
2025-W36,,X,,,,X,,,X,,,,,,,,
