Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W42,,,,,,,,,X,,,,,,,,
2018-W43,,,,,,,,,X,,,,,,,,
2018-W44,,,,,,,,,X,,,,,,,,
2018-W45,,,,,,,,,X,,,,,X,,,
2018-W46,,,,,,,,,X,,,,,,,,
2018-W47,,,,,,,,,X,,,,,,,,
2018-W48,,,,,,,,,X,,,,,,,,
2018-W49,,,,,,,,,X,,,,,,,,
2020-W51,,,,,,,,,,X,,,,,,,
2020-W52,,,,,,,,,,X,,,,,,,
2021-W01,,,,,,,,,,X,,,,,,,
2021-W03,,,,,,,,,,X,,,,,,,
2021-W04,,,,,,,,,,X,,,,,,,
2021-W05,,,,,,,,,,X,,,,,,,
2021-W06,,,,,,,,,,X,,,,,,,
2021-W07,,,,,,,,,,X,,,,,,,
2021-W08,,,,,,,,,,X,,,,,,,
2021-W09,,,,,,,,,,X,,,,,,,
2021-W11,,,,,,,,,,X,,,,,,,
