Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W26,,,,,,,,,,,,,,,,,X
2018-W28,,,,,,,,,,X,,,,,,,X
2018-W32,,,,,,,,,,X,,,,,,,
2018-W33,,,,,,,,,,X,,,,,,,
2018-W45,,,,,,,,,,,,,,X,,,
2018-W46,,,,,,,,,,X,,,,,,,
2018-W47,,,,,,,,,,X,,,,,,,
2018-W52,,,,,,,,,X,,,,,,,,
2019-W03,,,,,,,,,X,,,,,,,,
2019-W04,,,,,,,,,X,,,,,,,,
2019-W05,,,,,,,,,X,,,,,,,,
2019-W07,,,,,,,,,X,,,,,,,,
2019-W08,,,,,,,,,X,,,,,,,,
2019-W09,,,,,,,,,X,,,,,,,,
2019-W10,,,,,,,,,X,,,,,,,,
2019-W13,,,,,,,,,X,,,,,,,,
2019-W14,,,,,,,,,X,,,,,,,,
2019-W15,,,,,,,,,X,,,,,,,,
2019-W16,,,,,,,,,X,,,,,,,,
2019-W30,,,,,,,,,,X,,,,,,,X
2019-W31,,,,,,,,,,X,,,,,,,X
2019-W32,,,,,,,,,,X,,,,,,,X
2019-W33,,,,,,,,,,X,,,,,,,X
2019-W37,,,,,,,,,,,,,,,,,X
2019-W38,,,,,,,,,,,,,,,,,X
2019-W39,,,,,,,,,,,,,,,,,X
2019-W40,,,,,,,,,,,,,,,,,X
2019-W41,,,,,,,,,,,,,,,,,X
2019-W42,,,,,,,,,,,,,,,,,X
2019-W43,,,X,,,,,,,,,,,,,,
2019-W44,,,,,,,,,,,,,,,,,X
2019-W45,,,,,,,,,,,,,,,,,X
2019-W46,,,,,,,,,X,,,,,,,,
2020-W06,,,,,,,,,X,,,,,,,X,
2020-W12,,,,,,,,,,,,,,X,,,
2020-W18,,,,,,,,,,,,,,X,,,
2020-W19,,,,,,,,,,,,,,X,,,
2020-W21,,,,,,,,,,,,,,X,,,
2020-W22,,,,,,,,,,X,,,,X,,,
2020-W23,,,,,,,,,,X,,,,,,,
2020-W24,,,,,,,,,X,X,,,,X,,,
2020-W25,,,,,,,,,X,X,,,,X,,,
2020-W26,,,,,,,,,,X,,,,X,,,
2020-W27,,,,,,,,,,X,,,,X,,,
2020-W28,,,,,,,,,,X,,,,,,,
2020-W29,,,,,,,,,,X,,,,,,,X
2020-W30,,,,,,,,,,,,,,,,,X
2020-W33,,,,,,,,,,,,,,,,,X
2021-W28,,,,,,,,,,X,,,,,,,
2021-W29,,,,,,,,,,X,,,,,,,
2021-W30,,,,,,,,,,X,,,,,,,
2021-W31,,,,,,,,,,X,,,,,,,
2021-W32,,,,,,,,,,X,,,,,,,
2021-W51,,,,,,,,,,X,,,,,,,
2021-W52,,,,,,,,,,X,,,,,,,
2022-W01,,,,,,,,,,X,,,,,,,
2022-W02,,,,,,,,,,X,,,,,,,
2022-W03,,,,,,,,,,X,,,,,,,
2022-W28,,,,,,,,,,X,,,,,,,
2022-W29,,,,,,,,,,X,,,,,,,
2022-W30,,,,,,,,,,X,,,,,,,
2025-W16,,,,,,,,,,,,,,,,,X
2025-W17,,,,,,,,,,,,,,,,,X
2025-W18,,,,,,,,,,,,,,,,,X
2025-W19,,,,,,,,,,,,,,,,,X
2025-W20,,,,,,,,,,,,,,,,,X
2025-W21,,,,,,,,,,,,,,,,,X
2025-W22,,,,,,,,,,,,,,,,,X
2025-W23,,,,,,,,,,,,,,,,,X
2025-W24,,,,,,,,,,,,,,,,,X
2025-W25,,,,,,,,,,,,,,,,,X
2025-W26,,,,,,,,,,,,,,,,,X
2025-W27,,,,,,,,,,,,,,,,,X
2025-W29,,,,,,,,,,,,,,,,,X
2025-W30,,,,,,,,,,,,,,,,,X
2025-W31,,,,,,,,,,,,,,,,,X
2025-W32,,,,,,,,,,,,,,,,,X
2026-W20,,,,,,,,,,X,,,,,,,
2026-W21,,,,,,,,,,X,,,,,,,
2026-W22,,,,,,,,,,X,,,,,,,
2026-W24,,,,,,,,,,X,,,,,,,
