Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W28,,X,,,,,,,,X,,,,,,,
2018-W32,,X,,,,,,,X,X,,,,,,,X
2018-W33,,X,,,,,,,X,X,,,,,,,X
2018-W34,,X,,,,,,,X,,,,,,,,X
2018-W35,,X,,,,,,,X,X,,,,,,,X
2018-W36,,X,,,,,,,X,X,,,,,,,X
2018-W38,,X,,,,,,,X,X,,,,,,,
2018-W40,,X,,,,,,,X,X,,,,,,,X
2018-W41,,X,,,,,,,X,,,,,,,,X
2018-W42,,X,,,,,,,,,,,,,,,X
2018-W43,,,,,,,,,,,,,,,,,X
2019-W32,,X,,,,,,,,,,,,,,,
2019-W33,,X,,,,,,,,X,,,,,,,
2019-W34,,X,,,,,,,,X,,,,,,,
2019-W35,,X,,,,,,,,X,,,,,,,X
2019-W36,,X,,,,,,,X,X,,,,,,,X
2019-W37,,X,,,,,,,,X,,,,,,,X
2019-W38,,X,,,,,,,X,X,,,,,,,X
2019-W39,,X,,,,,,,,,,,,,,,X
2019-W40,,,,,,,,,,,,,,,,,X
