Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2020-W33,,X,,,,,,,X,,,,,,,,
2020-W34,,X,,,,,,,X,,,,,,,,X
2020-W36,,X,,,,,,,X,,,,,,,,X
2020-W37,,X,,,,,,,,X,,,,,,,X
2020-W38,,X,,,,,,,X,X,,,,,,,X
2020-W39,,X,,,,,,,X,X,,,,,,,X
2020-W40,,,,,,,,,X,,,,,,,,X
2020-W41,,,,,,,,,X,,,,,,,,X
2020-W42,,,,,,,,,X,,,,,,,,X
2020-W43,,,,,,,,,X,,,,,,,,X
2020-W44,,,,,,,,,X,,,,,,,,X
2020-W45,,,,,,,,,X,,,,,,,,X
2021-W32,,X,,,,X,,,,,,,,,,,
2021-W34,,X,,,,X,,,,X,,,,X,,,X
2021-W35,,,,,,X,,,,X,,,,X,,,X
2021-W36,,X,,,,X,,,,X,,,,X,,,X
2021-W37,,X,,,,X,,,X,X,,,,,,,X
2021-W38,,X,,,,X,,,,X,,,,,,,X
2021-W40,,X,,,,,,,,,,,,,,,X
2021-W41,,X,,,,,,,X,,,,,,,,X
2021-W42,,,,,,,,,,,,,,,,,X
2021-W43,,,,,,,,,,,,,,,,,X
2021-W44,,,,,,,,,,,,,,,,,X
2022-W33,,X,,,,,,,X,,,,,,,,X
2022-W34,,X,,,,,,,,,,,,,,,X
2022-W36,,X,,,,,,,X,,,,,,,,X
2022-W37,,X,,,,X,,,X,X,,,,,,,X
2022-W38,,X,,,,X,,,X,X,,,,,,,
2022-W39,,X,,,,,,,X,X,,,,,,,
2022-W40,,X,,,,,,,,X,,,,,,,
2022-W41,,,,,,,,,,X,,,,,,,X
2022-W42,,,,,,,,,,X,,,,,,,X
2022-W43,,,,,,,,,,X,,,,,,,X
2022-W44,,,,,,,,,,X,,,,,,,X
2022-W45,,,,,,,,,,X,,,,,,,X
2022-W46,,,,,,,,,X,,,,,,,,X
2022-W48,,,,,,,,,,,,,,,,,X
2023-W31,,,,,,,,,,X,,,,,,,
2023-W32,,X,,,,,,,X,X,,,,,,,
2023-W33,,X,,,,X,,,,X,,,,,,,
2023-W34,,X,,,,X,,,X,X,,,,,,,X
2023-W35,,X,,,,,,,,X,,,,,,,X
2023-W36,,X,,,,X,,,,X,,,,,,,X
2023-W37,,X,,,,X,,,X,X,,,,,,,X
2023-W38,,X,,,,X,,,,X,,,,,,,X
2023-W39,,X,,,,X,,,X,,,,,,,,X
2023-W40,,X,,,,,,,,,,,,,,,X
2023-W41,,X,,,,,,,,,,,,,,,X
2023-W42,,X,,,,,,,,,,,,,,,X
2023-W43,,,,,,,,,X,,,,,,,,X
2023-W44,,,,,,,,,,,,,,,,,X
2024-W28,,X,,,,,,,,,,,,,,,
2024-W29,,X,,,,X,,,,,,,,,,,
2024-W30,,X,,,,X,,,X,,,,,,,,
2024-W31,,X,,,,X,,,X,X,,,,,,,
2024-W32,,X,,,,X,,,,X,,,,,,,
2024-W33,,X,,,,X,,,,X,,,,,,,
2024-W34,,X,,,,X,,,X,X,,,,,,,
2024-W35,,X,,,,X,,,X,X,,,,,,,X
2024-W36,,X,,,,,,,X,X,,,,,,,X
2024-W37,,X,,,,,,,X,X,,,,,,,X
2024-W38,,X,,,,,,,,X,,,,,,,X
2024-W39,,X,,,,,,,,,,,,,,,X
2024-W40,,,,,,,,,,,,,,,,,X
2024-W41,,,,,,,,,,X,,,,,,,X
2024-W42,,,,,,,,,,,,,,,,,X
2024-W43,,,,,,,,,,,,,,,,,X
2024-W44,,,,,,,,,,,,,,,,,X
2024-W45,,,,,,,,,,,,,,,,,X
2024-W46,,,,,,,,,,,,,,,,,X
2024-W47,,,,,,,,,,,,,,,,,X
2024-W49,,,,,,,,,,,,,,,,,X
2024-W50,,,,,,,,,,,,,,,,,X
2025-W31,,X,,,,,,,,X,,,,,,,
2025-W32,,X,,,,,,,,X,,,,,,,
2025-W34,,X,,,,X,,,X,X,,,,,,,
2025-W35,,X,,,,X,,,X,,,,,,,,
2025-W36,,X,,,,X,,,X,X,,,,,,,
2025-W37,,X,,,,X,,,X,X,,,,,,,
2025-W38,,X,,,,X,,,,X,,,,,,,X
2025-W39,,X,,,,,,,,X,,,,,,,X
2025-W40,,X,,,,,,,X,X,,,,,,,X
2025-W41,,X,,,,,,,,X,,,,,,,X
2025-W42,,,,,,,,,,X,,,,,,,X
2025-W43,,,,,,,,,,X,,,,,,,X
2025-W44,,,,,,,,,,X,,,,,,,X
