Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W30,,X,,,,,,,,,,,,,,,
2019-W31,,X,,,,,,,,,,,,,,,
2019-W32,,X,,,,,,,X,X,,,,,,,
2019-W33,,X,,,,,,,X,X,,,,,,,
2019-W34,,X,,,,,,,X,X,,,,,,,X
2019-W35,,X,,,,,,,X,X,,,,,,,X
2019-W36,,X,,,,,,,,X,,,,,,,X
2019-W37,,X,,,,,,,,X,,,,,,,X
2020-W32,,,,,,,,,,,,,,X,,,
2020-W33,,X,,,,,,,X,X,,,,,,,
2020-W34,,X,,,,,,,X,X,,,,X,,,X
2020-W36,,X,,,,,,,X,X,,,,X,,,X
2020-W37,,X,,,,,,,,,,,,X,,,X
