Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W41,,,,,,,,,X,,,,,,,,X
2018-W42,,,,,,,,,X,,,,,,,,X
2018-W43,,,,,,,,,X,,,,,,,,X
2018-W44,,,,,,X,,,X,,,,,,,,X
2018-W45,,,,,,,,,X,,,,,,,,X
2018-W46,,,,,,,,,X,,,,,,,,X
2018-W47,,,,,,,,,X,,,,,,,,X
2018-W48,,,,,,,,,X,,,,,,,,X
2018-W49,,,,,,,,,X,X,,,,,,,X
2018-W50,,,,,,,,,X,X,,,,,,,X
2018-W51,,,,,,,,,X,X,,,,,,,X
2018-W52,,,,,,,,,X,,,,,,,,
2019-W01,,,,,,,,,,X,,,,,,,X
2019-W03,,,,,,,,,X,X,,,,,,,X
2019-W04,,,,,,,,,X,X,,,,,,,X
2019-W05,,,,,,,,,X,X,,,,,,,X
2019-W06,,,,,,,,,,X,,,,,,,X
2019-W07,,,,,,,,,X,X,,,,,,,X
2019-W08,,,,,,,,,X,X,,,,,,,X
2019-W09,,,,,,,,,X,X,,,,,,,X
2019-W10,,,,,,,,,X,X,,,,,,,X
2019-W11,,,,,,,,,X,X,,,,,,,X
2019-W12,,,,,,,,,X,X,,,,,,,
2019-W13,,,,,,,,,X,X,,,,,,,
2019-W14,,,,,,,,,X,X,,,,,,,
2019-W15,,,,,,,,,X,X,,,,,,,
2019-W16,,,,,,,,,X,X,,,,,,,
2019-W17,,,,,,,,,X,X,,,,,,,
2019-W20,,,,,,,,,,X,,,,,,,
2019-W21,,,,,,,,,,X,,,X,,,,
2019-W22,,,,,,,,,,X,,,,,,,
2019-W23,,,,,,,,,,X,,,,,,,
2019-W24,,,,,,,,,,X,,,,,,,
2019-W25,,,,,,,,,,X,,,,,,,
2019-W26,,,,,,,,,,X,,,,,,,
2019-W27,,,,,,,,,X,X,,,,,,,
2019-W28,,,,,,,,,,X,,,,,,,
2019-W29,,,,,,,,,,X,,,,,,,
2019-W30,,,,,,,,,,X,,,,,,,
2019-W31,,,,,,,,,,X,,,,,,,
2019-W32,,,,,,,,,,X,,,,,,,
2019-W38,,,,,,,,,,X,,,,,,,
2019-W39,,,,,,,,,,X,,,,,,,
2019-W40,,,,,,,,,,X,,,,,,,
2019-W41,,,,,,,,,,X,,,,,,,
2019-W42,,,,,,,,,,X,,,,,,,
2019-W44,,,,,,,,,,X,,,,,,,
2019-W45,,,,,,,,,,X,,,,,,,
2019-W46,,,,,,,,,,X,,,,,,,
2019-W47,,,,,,,,,X,X,,,,,,,
2019-W48,,,,,,,,,X,X,,,,,,,
2019-W49,,,,,,,,,X,X,,,,,,,
2019-W50,,,,,,,,,X,X,,,X,,,,
2019-W51,,,,,,,,,X,X,,,,,,,
2020-W01,,,,,,,,,X,X,,,,,,,
2020-W02,,,,,,,,,X,X,,,,,,,
2020-W03,,,,,,,,,X,X,,,,,,,
2020-W04,,,,,,,,,X,,,,,,,,
2020-W05,,,,,,,,,,X,,,,,,,
2020-W10,,,,,,,,,,X,,,,,,,
2020-W44,,,,,,,,,,,,,,X,,,
2020-W45,,,,,,,,,,,,,,X,,,
2023-W39,,,,,,,,,,X,,,,,,,
2023-W40,,,,,,,,,,X,,,,,,,
2023-W41,,,,,,,,,,X,,,,,,,
2023-W42,,,,,,X,,,,X,,,,,,,
2023-W43,,,,,,X,,,,X,,,,,,,
2023-W44,,,,,,X,,,,X,,,,,,,
2023-W45,,,,,,X,,,,X,,,,,,,
2023-W46,,,,,,X,,,,X,,,,,,,
2023-W47,,,,,,X,,,,X,,,,,,,
2023-W48,,,,,,X,,,,X,,,,,,,
2023-W49,,,,,,X,,,,X,,,,,,,
2023-W50,,,,,,X,,,,X,,,,,,,
2023-W51,,,,,,X,,,,X,,,,,,,
2024-W01,,,,,,X,,,,X,,,,,,,
2024-W02,,,,,,X,,,,X,,,,,,,
2024-W03,,,,,,X,,,,X,,,,,,,
2024-W04,,,,,,X,,,,X,,,,,,,
2024-W05,,,,,,X,,,,X,,,,,,,
2024-W06,,,,,,X,,,,X,,,,,,,
2024-W07,,,,,,,,,,X,,,,,,,
2024-W08,,,,,,,,,,X,,,,,,,
2024-W10,,,,,,,,,,X,,,,,,,
2024-W11,,,,,,,,,,X,,,,,,,
2024-W12,,,,,,,,,,X,,,,,,,
2024-W13,,,,,,X,,,,X,,,,,,,
2024-W14,,,,,,X,,,,X,,,,,,,
2024-W16,,,,,,X,,,,,,,,,,,
2024-W17,,,,,,X,,,,,,,,,,,
2024-W19,,,,,,X,,,,,,,,,,,
2024-W20,,,,,,X,,,,,,,,,,,
2024-W21,,,,,,X,,,,,,,,,,,
2024-W22,,,,,,X,,,,,,,,,,,
2024-W23,,,,,,X,,,,,,,,,,,
2024-W24,,,,,,X,,,,,,,,,,,
2024-W25,,,,,,X,,,,,,,,,,,
2024-W26,,,,,,X,,,,,,,,,,,
