Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2020-W08,,X,,,,,,,X,,,,,,,,X
2020-W09,,X,,,,,,,X,,,,,,,,X
2020-W10,,X,,,,,,,X,X,,,,,,,X
2020-W11,,X,,,,,,,X,,,,,,,,X
2020-W12,,X,,,,,,,X,X,,,,X,,,X
2020-W13,,X,,,,,,,,X,,,,,,,X
2020-W14,,X,,,,,,,,X,,,,,,,X
2020-W15,,X,,,,,,,,X,,,,,,,X
2020-W16,,X,,,,,,,X,X,,,,,,,X
2020-W17,,X,,,,,,,X,X,,,,,,,X
2020-W18,,X,,,,,,,X,X,,,,X,,,X
2020-W19,,X,,,,,,,X,X,,,,X,,,X
2020-W20,,X,,,,,,,X,X,,,,,,,X
2020-W21,,X,,,,,,,X,X,,,,X,,,X
2020-W22,,X,,,,,,,X,X,,,,X,,,X
2020-W23,,X,,,,,,,X,X,,,,,,,X
2020-W24,,X,,,,,,,X,X,,,,X,,,X
2020-W25,,X,,,,,,,X,X,,,,X,,,X
2020-W26,,X,,,,,,,X,X,,,,X,,,X
2020-W27,,X,,,,,,,X,X,,,,X,,,X
2020-W28,,X,,,,,,,X,X,,,,,,,X
2020-W29,,X,,,,,,,,X,,,,,,,
2020-W30,,X,,,,,,,,,,,,,,,
