Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W11,X,,,,,,,,X,X,,,X,,,,
2019-W12,,,,,,,,,X,X,,,X,,X,,
2019-W13,,,,,,,X,,X,X,,,X,,X,,
2019-W14,,,,,,,,,X,X,,,X,,,,
2019-W15,,,,,,,,,X,X,,,X,,X,,
2019-W16,,,,,,,,,X,X,,,X,,X,,
2019-W17,,,,,,,,,X,X,,,X,,,,
2019-W21,,,,,,,,,X,,,,,,,,
2019-W22,,,,,,,,,X,,,,,,X,,
2019-W27,,,,,,,,,X,,,,,,,,
2020-W18,,,,,,,,,,,,,X,,,,
2020-W19,,,,,,,,,,,,,X,,,,
2021-W15,,,,,,X,,,X,X,,,X,,,,
2021-W16,,,,,,X,,,,X,,,X,,,,
2021-W18,,,,,,X,,,,X,,,,,,,
2021-W19,,,,,,X,,,,,,,X,,,,X
2021-W20,,,,,,,,,,,,,,,,,X
2021-W21,,,,,,,,,,,,,X,,,,X
2021-W22,,,,,,,,,,,,,X,,,,
2022-W11,,,,,,,,,,,,,,,X,,
2022-W12,,,,,,X,,,X,,,,,,X,,
2022-W13,,,,,,X,,,X,X,,,,,X,X,
2022-W14,,,,,,X,,,X,,,,X,,,,
2022-W15,,,,,,X,,,,X,,,X,,X,X,
2022-W16,,,,,,X,,,X,X,,,,,,,
2022-W17,,,,,,X,,,X,,,,,,X,,
2022-W18,,,,,,X,,,X,X,,,X,,X,,
2022-W19,,,,,,X,,,X,X,,,,,,,
2022-W20,,,,,,X,,,,,,,,,,,
2023-W19,,,,,,,,,,,,,,,,X,
2023-W20,,,,,,,,,,,,,,,,X,
2023-W21,,,,,,,,,,,X,,,,,X,
2023-W22,,,,,,,,X,,,,,,,,,
2023-W23,,,,,,,,,,,,,,,,,X
2023-W49,,,,,,X,,,,,,,,,,,
2024-W13,,,,,,,,,X,X,,,,,,,
2024-W14,,,,,,X,,,X,X,,,,,,,
2024-W15,,,,,,,,X,X,X,,,,,,,
2024-W16,,,,,,X,,X,X,X,,,,,,,
2024-W17,,,,,,X,,X,,X,,,,,,,
2024-W19,,X,,,,X,,X,,X,,,,,,,
2024-W20,,X,,,,,,,,X,,,,,,,
2024-W21,,,,,,,,X,,X,,,,,,,
2025-W11,,X,,,,X,,,,,,,,,,,
2025-W12,,X,,,,X,,,,X,,,,,,X,X
2025-W13,,X,,,,X,,,X,X,,,X,,,,X
2025-W14,,X,,,,X,,,,X,,,X,,,X,X
2025-W15,,X,,,,X,,,,X,,,X,,,,X
2025-W16,,X,,,,X,,,,X,,,,,,X,X
2025-W17,,X,,,,X,,,X,X,,,,,,,X
2025-W18,,,,,,X,,,,,,,,,,,X
2025-W19,,X,,,,,,,X,X,,,,,,,X
2025-W20,,X,,,,,,,X,,,,,,,,
2025-W21,,,,,,,,,X,,,,,,,,
2026-W10,,X,,,,X,,,,X,,,,,,,
2026-W11,,X,,,,X,,,,X,,,X,,,,
2026-W12,,X,,,,X,,,,X,,,,,,,
2026-W13,,X,,,,X,,,,X,,,X,,,,
2026-W14,,X,,,,X,,,,X,,,,,,,
2026-W15,,X,,,,X,,,,X,,,,,,,
2026-W16,,X,,,,X,,,,X,,,X,,,,
2026-W17,,X,,,,X,,,,X,,,X,,,,
2026-W18,,X,,,,X,,,,X,,,,,,,
2026-W19,,X,,,,,,,,X,,,,,,,
2026-W20,,X,,,,,,,,X,,,,,,,
