Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W41,,,,,,,,,,X,,,,,,,
2018-W42,,X,,,,,,,X,X,,,,,,,
2018-W43,,X,,,,,,,X,X,,,,,,,
2018-W44,,X,,,,,,,X,X,,,,,,,
2018-W45,,X,,,,,,,,,,,,,,,
2018-W46,,X,,,,,,,,,,,,,,,
2018-W47,,X,,,,,,,,,,,,,,,
2018-W48,,X,,,,,,,,,,,,,,,
2018-W49,,X,,,,X,,,,,,,,,,,
2018-W50,,X,,,,X,,,,,,,,,,,
2018-W51,,X,,,,X,,,,,,,,,,,
2019-W01,,X,,,,,,,,,,,,,,,
2019-W03,,X,,,,,,,,,,,,,,,
2019-W04,,X,,,,,,,,,,,,,,,
2019-W05,,X,,,,,,,,,,,,,,,
2019-W06,,X,,,,,,,,,,,,,,,
2019-W07,,X,,,,,,,,,,,,,,,
2019-W08,,X,,,,,,,,,,,,,,X,
2019-W09,,X,,,,,,,,,,,,,,X,
2019-W10,,X,,,,,,,,,,,,,,X,
2019-W11,,X,,,,,,,,,,,,,,X,
2019-W12,,X,,,,,,,,,,,,,,X,
2019-W13,,X,,,,,,,,,,,,,,X,
2019-W14,,X,,,,,,,,,,,,,,X,
2022-W09,,,,,,X,,,,,,,,,,,
2022-W45,,,,,,X,,,,,,,,,,,
2022-W46,,,,,,X,,,,,,,,,,,
2022-W48,,,,,,X,,,,,,,,,,,
2022-W49,,,,,,X,,,,,,,,,,,
2022-W50,,,,,,X,,,,,,,,,,,
2022-W51,,,,,,X,,,,,,,,,,,
