Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2023-W44,,,,,,X,,,,,,,,,,,
2023-W45,,,,,,X,,,,,,,,,,,
2023-W46,,X,,,,X,,,,,,,,,,,
2023-W47,,X,,,,X,,,,,,,,,,,
2023-W48,,X,,,,X,,,,X,,,,,,,
2023-W49,,X,,,,X,,,,X,,,,,,,
2023-W50,,X,,,,X,,,,X,,,,,,,
2023-W51,,X,,,,X,,,,X,,,,,,,
2024-W02,,X,,,,X,,,,X,X,,,,,,
2024-W03,,X,,,,X,,,,X,,,,,,X,
2024-W04,,X,,,,X,,,,X,,,,,,,
2024-W05,,X,,,,X,,,,X,,,,,,,
2024-W06,,X,,,,X,,,,X,,,,,,,
2024-W07,,X,,,,X,,,,X,,,,,,,
2024-W08,,X,,,,X,,,,X,,,,,,,
2024-W09,,X,,,,X,,,,,,,,,,,
2024-W10,,X,,,,X,,,,X,,,,,,,
2024-W11,,X,,,,,,,,X,X,,,,,,
2024-W12,,X,,,,,,,,X,,,,,,,
2024-W13,,X,,,,,,,,X,X,,,,,,
2024-W14,,X,,,,,,,,X,X,,,,,,
2024-W15,,,,,,,,,,,,,X,,,,
2024-W42,,X,,,,,,,X,,,,,,,,
2024-W43,,X,,,,X,,,X,X,,,,,,,
2024-W44,,X,,,,,,,,X,,,,,,,
2024-W45,,X,,,,,,,,X,,,,,,,
2024-W46,,X,,,,,,,X,X,,,,,,,
2024-W47,,X,,,,X,,,,X,,,,,,,
2024-W48,,X,,,,X,,,X,X,,,,,,,
2024-W49,,X,,,,X,,,,X,,,,,,,
2024-W50,,X,,,,X,,,X,X,,,X,,,,
2024-W51,,X,,,,X,,,X,X,X,,X,,,,X
2024-W52,,,,,,,,,,X,,,,,,,
2025-W01,,X,,,,X,,,,,,X,,,,,
2025-W02,,X,,,,X,,,X,X,X,,X,,,,X
2025-W03,,X,,,,X,,,,X,X,,X,,,,X
2025-W04,,X,,,,X,,,,X,X,,X,,,,X
2025-W05,,X,,,,X,,,X,X,X,,X,,,,X
2025-W06,,X,,,,X,,,X,X,,,X,,,,X
2025-W07,,X,,,,X,,,,X,,,X,,,,X
2025-W08,,X,,,,X,,,,X,,,,,,,X
2025-W09,,X,,,,X,,,,X,,,,,,,X
2025-W10,,X,,,,X,,,,X,,,X,,,,X
2025-W11,,X,,,,,,,,X,,,X,,,,X
2025-W12,,X,,,,,,,,X,,,,,,,X
2025-W13,,,,,,,,,X,,,,X,,,,X
2025-W14,,X,,,,,,,,,,,X,,,,X
2025-W17,,X,,,,,,,,,,,,,,,
2025-W44,,X,,,,X,,,,X,,,,,,,
2025-W45,,X,,,,X,,,,X,,,,,,,
2025-W46,,X,,,,X,,,,X,,,,,,,
2025-W47,,X,,,,,,,,X,,,,,,,
2025-W48,,X,,,,,,,,X,,,,,,,
2025-W49,,X,,,,X,,,,X,,,,,,,
2025-W50,,X,,,,X,,,,X,,,,,,,
2025-W51,,X,,,,X,,,X,,,,,,,,
2026-W01,,X,,,,X,,,,X,,,,,,,
2026-W02,,X,,,,X,,,X,X,,,,,,,
2026-W03,,X,,,,X,,,,X,,,,,,,
2026-W04,,X,,,,X,,,,,,,,,,,X
2026-W05,,X,,,,X,,,,X,,,,,,,X
2026-W07,,X,,,,X,,,,X,,,,,,,X
2026-W08,,X,,,,X,,,,X,,,,,,,X
2026-W09,,X,,,,X,,,,X,,,,,,,X
2026-W10,,X,,,,X,,,X,X,,,,,,,X
2026-W11,,X,,,,X,,,X,X,,,X,,,,X
2026-W12,,X,,,,,,,X,X,,,,,,,X
2026-W13,,,,,,X,,,,X,,,,,,,X
2026-W14,,,,,,X,,,X,X,,,,,,,X
2026-W15,,,,,,X,,,,X,,,,,,,X
2026-W16,,,,,,X,,,,X,,,,,,,X
2026-W17,,,,,,,,,,X,,,,,,,
2026-W20,,,,,,,,,X,,,,,,,,
