Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2020-W11,,,,,,,,,X,,,,X,,,X,
2020-W12,,,,,,,,,X,,,,X,X,,,
2020-W48,,,,,,X,,,,,,,,,,,
2021-W48,,,,,,,,,X,,,,,,,,
2021-W49,,,,,,X,,,,,,,,,,,
2021-W50,,,,,,X,,X,,,,,,,,,
2021-W51,,,,,,X,,,,,,,,,,,
2021-W52,,,,,,X,,,X,,,,,,,,
2022-W01,,,,,,,,,X,,,,,,,,
2022-W03,,,,,,X,,,,,,,,,,,X
2022-W04,,,,,,,,,,,,,,,,,X
2022-W06,,,,,,X,,,,,,,,,,,X
2022-W09,,,,,,X,,,,,,,,,,,X
2022-W10,,,,,,X,,,,,,,,,,,X
2022-W11,,,,,,X,,,,,,,,,,,
2022-W12,,,,,,X,,,,,,,,,,,X
2022-W13,,,,,,X,,,,,,,,,,,X
2022-W14,,,,,,X,,,,,,,X,,,,
2022-W15,,,,,,X,,,,,,,X,,,,
2022-W47,,,,,,X,,,,,,,,,,,
2022-W48,,,,,,X,,,,,,,,,,,
2022-W49,,,,,,X,,,,,,,,,,,
2022-W50,,,,,,X,,,,,,,,,,,
2022-W51,,,,,,X,,,,,,,,,,,
2022-W52,,,,,,X,,,,,,,,,,,
2023-W02,,,,,,X,,,,,,,,,,,
2023-W08,,,,,,X,,,,X,,,,,,,
2023-W09,,,,X,,X,,,,X,,,,,,,
2023-W10,,,,,,X,,,,X,,,,,,,
2023-W11,,,,,,X,,,,X,,,,,,,
2023-W12,,,,,,X,,,,X,,,,,,,X
2023-W13,,,,,,X,,,,X,,,,,,,X
2023-W14,,,,,,X,,,,X,,,,,,,X
2023-W15,,,,,,X,,,,X,,,,,,,X
2023-W16,,,,,,X,,,,X,,,,,,,
2023-W50,,,,,,X,,,,,,,,,,,
2023-W51,,,,,,X,,,,,,,,,,,
2025-W50,,,,,,X,,,,X,,,,,,,
2025-W51,,,,,,X,,,,X,,,,,,,
2026-W01,,,,,,X,,,,X,,,,,,,
2026-W02,,,,,,X,,,X,X,,,,,,,
2026-W03,,,,,,X,,,,X,,,,,,,
2026-W04,,,,,,X,,,,,,,,,,,X
2026-W05,,,,,,X,,,,X,,,,,,,X
2026-W07,,,,,,X,,,,X,,,,,,,X
2026-W08,,,,,,X,,,,X,,,,,,,X
2026-W09,,,,,,X,,,,X,,,,,,,X
2026-W10,,,,,,X,,,,X,,,,,,,X
2026-W12,,,,,,X,,,,,,,,,,,X
2026-W13,,,,,,X,,,,,,,,,,,X
2026-W14,,,,,,X,,,,,,,,,,,X
2026-W15,,,,,,X,,,,,,,,,,,X
2026-W17,,,,,,X,,,,,,,,,,,
