Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W50,,,,,,X,,,,,,,,,,,
2018-W51,,,,,,X,,,,,,,,,,,
2019-W03,,,,,,X,,,,,,,,,,,
2019-W04,,X,,,,,,,,X,,,,,,,
2019-W05,,X,,,,,,,,X,,,,,,,
2019-W06,,X,,,,,,,,X,,,,,,,
2019-W07,X,X,,,,,,,,X,,,,,,,
2019-W08,,X,,,,,,,,X,,,,,,,
2019-W09,X,X,,,,,,,,X,,,,,,,
2019-W10,X,X,,,,,,,,X,,,,,,X,
2019-W11,X,X,,,,,,,,X,,,,,,X,
2019-W12,,X,,,,,,,,X,,,,,,X,
2019-W13,,X,,,,,,,,X,,,,,,X,
2019-W14,,X,,,,,,,,X,,,,,,X,
2019-W15,,X,,,,,,,,X,,,,,,,
2019-W16,,X,,,,,,,,X,,,,,,,
2019-W17,,X,,,,,,,,X,,,,,,,
2019-W21,,X,,,,,,,,X,,,,,,,
2019-W22,,X,,,,,,,,X,,,,,,,
2019-W23,,X,,,,,,,,X,,,,,,,
2019-W24,,X,,,,,,,,X,,,,,,,
2020-W12,,X,,,,,,,,,,,,,,,
2020-W13,,X,,,,,,,,,,,,,,,
2020-W14,,X,,,,,,,,,,,,,,,
2020-W15,,X,,,,,,,,,,,,,,,
2020-W16,,X,,,,,,,,,,,,,,,
2020-W17,,X,,,,,,,,,,,,,,,
2020-W18,,X,,,,,,,,,,,,,,,
2020-W20,,X,,,,,,,,,,,,,,,
2020-W22,,X,,,,,,,,,,,,,,,
2020-W23,,X,,,,,,,,,,,,,,,
