Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W47,,X,,,,X,,,,,,,X,,,,
2018-W48,,X,,,,X,,,,,,,X,,,,
2018-W49,,X,,,,X,,,,X,,,X,,,,
2018-W50,,X,,,,X,,,,X,,,X,,,,
2018-W51,,X,,,,X,,,,X,,,X,,,,
2019-W01,,X,,,,X,,,,X,,,X,,,,X
2019-W03,,X,,,,X,,,,X,,,X,,,,X
2019-W04,,X,,,,,,,,,,,X,,,,X
2019-W05,,X,,,,,,,,,,,X,,,,X
2019-W06,,X,,,,,,,,,,,X,,,,X
2019-W07,,X,,,,,,,,,,,X,,,,X
2019-W08,,X,,,,,,,,,,,X,,,,X
2019-W09,,X,,,,,,,,X,,,X,,,,X
2019-W10,,X,,,,,,,,X,,,X,,,X,X
2019-W11,,X,,,,,,,,X,,,X,,,X,X
2019-W12,,X,,,,,,,,X,,,X,,,X,X
2019-W13,,X,,,,,,,,X,,,X,,,X,X
2019-W14,,X,,,,,,,,X,,,X,,,X,X
2019-W15,,X,,,,,,,,X,,,X,,,,X
2019-W16,,X,,,,,,,,X,,,,,,,X
2019-W17,,X,,,,,,,,X,,,,,,,X
2019-W21,,X,,,,,,,,X,,,X,,,,X
2019-W22,,,,,,,,,,X,,,X,,,,X
2019-W23,,,,,,,,,,X,,,X,,,,X
2019-W24,,,,,,,,,,X,,,,,,,
2019-W49,,X,,,,,,,,X,,,,,,,
2019-W50,,X,,,,,,,,X,,,X,,,,
2019-W51,,X,,,,,,,,X,,,X,,,,
2020-W01,,X,,,,,,,X,X,,,,,,,
2020-W02,,X,,,,,,,,X,,,,,,,
2020-W03,,X,,,,,,,,X,,,X,,,,
2020-W04,,X,,,,,,,,,,,,,,,
2020-W05,,X,,,,,,,,X,,,,,,,
2020-W06,,X,,,,,,,,,,,X,,,,
2020-W11,,X,,,,,,,,X,,,X,,,,
2020-W12,,X,,,,,,,,X,X,,X,,,,
2020-W13,,X,,,,,,,,X,,,X,,,,
2020-W14,,X,,,,,,,,X,,,X,,,,
2020-W15,,X,,,,,,,,,,,X,,,,
2020-W16,,X,,,,,,,,,,,X,,,,
2020-W17,,X,,,,,,,,X,,,X,,,,
2020-W18,,X,,,,,,,,X,X,,X,,,,
2020-W22,,,,,,,,,,X,X,,,,,,
2020-W46,,,,,,X,,,,,,,,,,,
2020-W47,,X,,,,X,,,,X,,,X,,,,
2020-W48,,X,,,,X,,,,X,,,X,,,,
2020-W49,,X,,,,X,,,,X,,,X,,,,
2020-W50,,X,,,,X,,,,X,,,X,,,,
2020-W51,,X,,,,X,,,,X,,,X,,,,
2020-W52,,X,,,,X,,,,X,,,X,,,,
2020-W53,,,,,,X,,,,,,,,,,,
2021-W01,,X,,,,,,,,X,,,X,,,,
2021-W03,,X,,,,X,,,,X,,,X,,,,X
2021-W04,X,X,,,,X,,,,X,,,X,,,,X
2021-W05,,X,X,,,X,,,X,X,,,X,,,,X
2021-W06,,X,,,,X,,,,X,,,X,,,,X
2021-W07,,X,,,,X,,,,X,,,X,,,,X
2021-W46,,X,,,,X,,,,,,,,,,,
2021-W47,,X,,,,X,,,,,,,,,,,
2021-W48,,X,,,,X,,,,,,,X,,,,
2021-W49,,X,,,,X,,,,,,,X,,,X,X
2021-W50,,X,,,,X,,,,X,,,X,,,X,X
2021-W51,,X,,,,X,,,,X,,,X,,,X,
2021-W52,,X,,,,X,,,,X,,,,,,,
2022-W01,,,,,,,,,,X,,,,,,X,X
2022-W02,,X,,,,X,,,,X,X,,,,,,X
2022-W03,,X,,,,X,,,,X,,,,,,,X
2022-W04,,X,,,,,,,,X,,,,,,,X
2022-W06,,X,,,,X,,,,X,,,,,,,X
2022-W09,,X,,,,X,,,,X,,,,,,,X
2022-W10,,X,,,,X,,,,X,,,,,,,X
2022-W11,,X,,,,X,,,,,,,,,,,
2022-W12,,X,,,,X,,,,X,,,,,,,X
2022-W13,,X,,,,X,,,,,,,,,,,X
2022-W14,,X,,,,X,,,,,,,X,,,,X
2022-W15,,X,,,,X,,,,,,,X,,,,X
2022-W16,,X,,,,,,,,X,,,,,,,X
2022-W17,,X,,,,,,,,,,,,,,,X
2022-W18,,,,,,,,,,X,,,,,,,
2022-W47,,X,,,,X,,,,,,,,,,,
2022-W48,,X,,,,X,,,,,,,,,,,
2022-W49,,X,,,,X,,,,,,,,,,,
2022-W50,,X,,,,X,,,,X,,,,,,,
2022-W51,,X,,,,X,,,,X,,,,,,,
2022-W52,,X,,,,X,,,,X,,,,,,,X
2023-W02,,X,,,,X,,,,,,,,,,,
2023-W03,,X,,,,X,,,,X,X,,,,,,
2023-W04,,X,,,,X,,,,X,X,,,,,,
2023-W05,,X,,,,X,,,,X,X,,,,,,
2023-W06,,,,,,X,,,,X,X,,,,,,
2023-W07,,X,,,,X,,,,X,X,,,,,,
2023-W08,,X,,,,X,,,,X,X,,,,,,
2023-W09,,X,,,,X,,,,X,X,,,,,,
2023-W10,,X,,,,X,,,,X,,,,,,,
2023-W11,,X,,,,X,,,,X,,,,,,,
2023-W12,,X,,,,X,,,,X,,,,,,,X
2023-W13,,X,,,,X,,,,X,,,,,,,X
2023-W14,,X,,,,X,,,,X,,,,,,,X
2023-W15,,X,,,,X,,,,X,X,,X,,,,X
2023-W16,,,,,,X,,,,X,,,,,,,X
2023-W18,,,,,,,,,,,X,,X,,,,X
2023-W45,,,,,,X,,,,X,,,,,,,
2023-W46,,X,,,,X,,,,X,,,,,,,
2023-W47,,X,,,,X,,,,X,X,,,,,,
2023-W48,,X,,,,X,,,,X,X,,,,,,
2023-W49,,X,,,,X,,,,X,,,,,,,
2023-W50,,X,,,,X,,,,,,,,,,,
2023-W51,,X,,,,X,,,,,,,,,,,
2024-W01,,X,,,,X,,,,,,,,,,,
2024-W02,,X,,,,X,,,,X,X,,,,,,X
2024-W03,,,,,,X,,,,X,,,,,,X,
2024-W04,,,,,,X,,,,X,,,,,,,
2024-W05,,,,,,X,,,,X,,,,,,,
2024-W06,,,,,,X,,,,X,,,X,,,,
2024-W07,,,,,,X,,,,X,,,X,,,,
2024-W08,,,,,,X,,,,X,,,X,,,,
2024-W09,,,,,,X,,,,,,,,,,X,X
2024-W10,,,,,,X,,,,X,,,,,,,X
2024-W11,,,,,,X,,,,X,X,,,,,,X
2024-W12,,,,,,X,,,,X,,,,,,,
2024-W13,,X,,,,X,,,,X,X,,,,,,X
2024-W14,,X,,,,X,,,,X,X,,,,,,X
2024-W15,,X,,,,X,,,,X,,,X,,,,X
2024-W16,,X,,,,X,,,,X,,,,,,,X
2024-W17,,X,,,,X,,,,X,,,,,,,X
