Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W10,,X,,,,,,,X,,,,,,,,
2019-W11,,X,,,,,,,X,,,,,,,,X
2019-W12,,X,,,,,,,X,,,,,,,,X
2019-W13,,X,,,,,,,X,,,,,,,,X
2019-W14,,X,,,,,,,X,,,,,,,,X
2019-W15,,X,,,,,,,X,,,,,,,,X
2019-W16,,X,,,,,,,X,X,,,,,,,X
2019-W17,,X,,,,,,,X,X,,,,,,,X
2019-W21,,X,,,,,,,X,,,,X,,,,X
2019-W22,,X,,,,,,,X,,,,X,,,,
2019-W23,,X,,,,,,,X,,,,X,,,,
2019-W24,,X,,,,,,,X,,,,,,,,
2020-W11,,X,,,,,,,X,,,,,,,,
2020-W12,,X,,,,,,,X,,,,,,,,
2020-W13,,X,,,,,,,,,,,,,,,
2020-W14,,X,,,,,,,,,,,,,,,
2020-W15,,X,,,,,,,,,,,,,,,
2020-W16,,X,,,,,,,X,,,,,,,,
2020-W17,,X,,,,,,,X,,,,,,,,
2020-W18,,X,,,,,,,X,X,,,X,,,,
2020-W19,,X,,,,,,,X,X,,,X,X,,,
2020-W20,,X,,,,,,,X,X,,,,,,,
2020-W22,,X,,,,,,,X,X,,,X,X,,X,
2020-W23,,X,,,,,,,X,X,,,X,,,X,
2020-W24,,X,,,,,,,X,X,,,,X,,X,
2021-W04,X,,,,,,,,,,,,,,,,
2021-W05,,X,,,,,,,,X,,,,,,,X
2021-W06,,X,,,,,,,X,X,,,,,,,
2021-W08,,X,,,,,,,X,X,,,,,,,
2021-W09,,X,,,,,,,X,X,,,,,,,
2021-W10,,X,,,,,,,X,,,,,,,,
2021-W11,,X,,,,,,,,X,,,,,,,
2021-W12,,X,,,,,,,X,X,,,,,,,
2021-W13,,X,,,,,,,,X,,,,,,,
2021-W14,,X,,,,,,,X,X,,,,,,X,
2021-W15,,X,,,,,,,X,X,,,,,,X,
2021-W16,,X,,,,,,,,X,,,,,,X,
2021-W17,,,,,,,,,X,,,,,,,,
2021-W18,,X,,,,,,,,X,,,,X,,X,
2021-W19,,X,,,,,,,X,X,,,X,X,,X,
2021-W20,,X,,,,X,,,,X,,,,X,,X,
2021-W21,,X,,,,X,,,X,X,,,X,X,,X,
2021-W22,,X,,,,X,,,X,X,,,X,X,,X,
2021-W23,,X,,,,,,,,X,,,X,X,,X,
2021-W24,,X,,,,,,,,X,,,,,,,
2021-W25,,X,,,,,,,,,,,,X,,,
2021-W26,,X,,,,,,,,,,,,X,,,
2021-W27,,X,,,,,,,,,,,,,,X,
2022-W09,,X,,,,,,,X,,,,,,,,X
2022-W10,,X,,,,,,,X,,,,,,,,X
2022-W11,,X,,,,,,,X,,,,,,,,
2022-W12,,X,,,,,,,X,,,,,,,,X
2022-W13,,X,,,,,,,X,,,,,,,,X
2022-W14,,X,,,,,,,X,,,,,,,,X
2022-W15,,X,,,,,,,,,,,,,,,X
2022-W16,,X,,,,,,,X,,,,,,,,X
2022-W17,,X,,,,,,,X,,,,,,,,X
2022-W18,,X,,,,,,,X,X,,,,,,,
2022-W19,,X,,,,,,,X,X,,,,,,,X
2022-W20,,X,,,,,,X,X,X,,,,,,,X
2022-W21,,X,,,,,,,X,,,,,,,,X
2022-W22,,X,,,,,,,,X,,,X,,,,X
2022-W23,,X,,,,,,,X,X,,,X,,,,X
2022-W24,,X,,,,,,,,X,,,X,,,,X
2022-W25,,X,,,,,,X,X,,,,,,,,X
2022-W26,,X,,,,,,,X,,,,,,,,X
2022-W27,,X,,,,,,,,,,,,,,,
2023-W07,,X,,,,,,X,X,,,,,,,,
2023-W08,,X,,,,,,,,,,,,,,,
2023-W09,,X,,,,,,,X,,,,,,,,
2023-W10,,,,,,,,,X,,,,,,,,
2023-W11,,X,,,,,,,X,,,,,,,,
2023-W12,,X,,,,,,,,,,,,,,,X
2023-W13,,X,,,,,,,,,,,,,,,X
2023-W14,,X,,,,,,,,,,,,,,,X
2023-W15,,X,,,,,,,,,,,,,,,X
2023-W16,,X,,,,,,,,,,,,,,,X
2023-W18,,,,,,,,,,,,,,,,,X
2023-W49,,,,,,X,,,,,,,,,,,
2024-W01,,X,,,,,,,,,,,,,,,
2024-W02,,X,,,,,,,,,,,,,,,
2024-W03,,X,,,,,,,,,,,,,,,
2024-W04,,X,,,,,,,,,,,,,,,
2024-W05,,X,,,,,,,,,,,,,,,
2024-W06,,X,,,,,,,,,,,,,,,
2024-W07,,X,,,,,,,,,,,,,,,
2024-W08,,X,,,,,,,,,,,,,,,
2024-W09,,X,,,,,,,,,,,,,,,
2024-W10,,X,,,,,,,,,,,,,,,
2024-W13,,X,,,,,,X,X,,,,,,,,
2024-W14,,X,,,,,,,X,,,,,,,,X
2024-W15,,X,,,,,,X,X,,,,,,,,X
2024-W16,,X,,,,,,X,X,,,,,,,,X
2024-W17,,X,,,,X,,X,X,,,,,,,X,X
2024-W19,X,X,,,,X,,X,X,,,,,,,,X
2024-W20,,X,,,,X,,,,X,,,,,,X,X
2024-W21,X,X,,,,,,X,,X,,,,,,,X
2024-W22,,X,,,,,,,,X,,,,,,X,X
2024-W23,,X,,,,,,,,X,,,,,,X,X
2024-W24,,X,,,,,,,,X,,,,,,X,
2024-W25,,X,,,,,,X,,X,,,,,,X,
2025-W06,,X,,,,,,,,,,,,,,,X
2025-W07,X,X,,,,,,,,,,,,,,,X
2025-W08,,X,,,,,,,,,,,,,,X,X
2025-W09,,X,,,,,,,,,,,,,,X,X
2025-W10,,X,,,,X,,,,,,,,,,,X
2025-W11,,X,,,,X,,,,,,,,,,X,X
2025-W12,,X,,,,X,,,,,,,,,,X,X
2025-W13,X,X,,,,,,,X,,,,,,,,X
2025-W14,,X,,,,,,,,,,,,,,X,X
2025-W15,,X,,,,,,,,,,,,,,X,X
2025-W16,,X,,,,X,,,,,,,,,,X,X
2025-W17,,X,,,,X,,,X,,,,,,,,X
2025-W18,,,,,,X,,,,,,,,,,,X
2025-W19,,X,,,,,,,X,,,,,,,,X
2025-W20,,X,,,,,,,X,,,,,,,,X
2025-W21,,X,,,,,,,X,,,,,,,,X
2025-W22,,X,,,,,,,,X,,,,,,,X
2025-W23,,X,,,,,,,X,X,,,,,,,X
2025-W24,,X,,,,,,,X,X,,,,,,,
2025-W25,,X,,,,,,,X,,,,,,,,
2026-W10,,X,,,,,,,,X,,,,,,,
2026-W12,,X,,,,,,,,X,,,,,,,
2026-W13,,X,,,,,,,,X,,,,,,,
2026-W14,,X,,,,,,,,X,,,,,,,
2026-W15,,X,,,,,,,,X,,,,,,,
2026-W16,,X,,,,,,,,X,,,,,,,X
2026-W17,,X,,,,,,,,X,,,X,,,,
2026-W18,,X,,,,,,,,X,,,,,,,
2026-W19,,X,,,,,,,,X,,,X,,,,
2026-W20,,X,,,,,,,,X,,,,,,,
2026-W21,,X,,,,,,X,,,,,,,,,X
2026-W22,,X,,,,,,,,X,,,,,,,X
2026-W23,,X,,,,,,,,X,,,,,,X,X
2026-W24,,X,,,,,,,,X,,,,,,,
