Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W22,,,,,,,,,,,,,X,,,,
2020-W18,,,,,,,,,,,,,X,,,,X
2020-W19,,,,,,,,,,,,,X,,,,X
2020-W20,,,,,,,,,,,,,,,,,X
2020-W21,,,,,,,,,,,,,X,,,,X
2020-W22,,,,,,,,,,,,,X,,,,X
2020-W23,,,,,,,,,,,,,X,,,,X
2020-W24,,,,,,,,,,,,,X,,,,X
2020-W25,,,,,,,,,,,,,X,,,,X
2020-W26,,,,,,,,,,,,,X,,,,
2020-W27,,,,,,,,,,,,,X,,,,
2020-W28,,,,,,,,,,,,,X,,,,
2020-W29,,,,,,,,,,,,,X,,,,
2021-W31,,,,,,,,,,,,,X,,,,
2022-W22,,X,,,,X,,,,,,,X,,,,
2022-W23,,,,,,X,,,,,,,X,,,,
2022-W24,,,,,,X,,,,,,,X,,,,
2022-W33,,,,,,,,,,,,,X,,,,
2024-W20,,X,,,,,,,,,,,,,,,
2024-W28,,,,,,X,,,,,,,,,,,
