Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W20,,X,,,,,,,X,,,,,,,,
2019-W28,,X,,,,,,,,,,,,,,,
2020-W02,,,,,,,,,X,,,,,,,,
2020-W03,,,,,,,,,X,,,,,,,,
2020-W08,,X,,,,,,,X,,,,,,,,
2020-W09,,X,,,,,,,X,,,,,,,,
2020-W10,,X,,,,,,,X,,,,,,,,
2020-W21,,X,,,,,,,X,,,,,,,,
2020-W33,,,,,,,,,,,X,,,,,,
2020-W34,,,,,,,,,,,X,,,,,,
2020-W37,,,,,,,,,,,X,,,,,,
2022-W07,,X,,,,,,X,X,,,,,,,,
2022-W08,,X,,,,,,,,,,,,,,,
2023-W20,,X,,,,,,,,,,,,,,,X
