Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W35,,X,,,,,,,X,X,,,,,,,X
2018-W36,,X,,,,,,,X,X,,,,,,X,X
2018-W37,,X,,,,,,,X,X,,,,,,X,X
2018-W38,,X,,,,,,,X,X,,,,,,X,X
2019-W37,,X,X,,,,,,X,X,,,X,,X,X,X
2019-W38,X,X,X,,,,,,X,X,,,X,,,X,X
2019-W39,,X,X,,,,,,,X,,,X,,,X,X
2019-W40,,X,X,,,,,,,X,,,,,X,X,X
2019-W41,,X,X,,,,,,,X,,,,,X,X,X
2019-W42,,X,X,,,,,,,X,,,,,X,X,X
2020-W36,,X,X,,,,,,X,X,,,X,,X,X,X
2020-W37,,X,,,,,,,,X,,,,X,,X,X
2021-W35,,X,,,,X,X,,X,X,,,,X,X,X,X
2021-W36,,,,,,X,,X,,X,,,,X,,X,X
2021-W37,,X,X,,,X,,,X,X,X,,X,X,,X,X
2021-W38,X,X,X,,,X,,,,X,,,X,X,,X,X
2021-W40,X,X,X,,,,,,,X,X,,,,,,X
2021-W41,X,X,X,,,X,,X,X,X,,,X,,,X,X
2021-W42,X,X,X,,,X,,X,X,X,,,X,,,X,X
2021-W43,X,X,X,,,X,,X,X,X,,,X,,X,X,X
2021-W44,X,X,X,,,X,,,,X,,,X,,,X,X
2021-W45,X,X,X,,,X,,,,X,,,X,,X,X,X
2021-W46,X,X,X,,,X,,,X,X,,,X,,,X,X
2021-W47,,X,X,,,,,,,X,,,X,,,X,X
2021-W48,,X,X,,X,,,,X,X,,,X,,,X,X
2021-W49,,,X,X,,,,,,X,,,X,,,X,X
2021-W50,,,,X,,,,,,X,,,X,,,X,X
2021-W51,,,,,,,,,,X,,,X,,,X,
2021-W52,,,,,,,,,X,X,,,,,,,
2022-W01,,,,X,,,,,X,X,,,,,,,X
2022-W02,,,,,X,,,,,X,X,,,,,X,X
2022-W03,,,,,,,,,,X,,,,,,,X
2022-W04,,,,,,,,,,X,X,,,,,,X
2022-W06,,,,,,,,,,X,,,,,,,X
2022-W07,,,,,,,,,X,X,,,,,,,X
2022-W08,,,,,,,,,,X,,,,,,,X
2022-W37,,X,,X,,,,,X,X,,,,,,X,
2022-W38,,X,,,,,,,X,X,,,X,,,,
2022-W39,,X,,X,,,,,X,X,,,,,,X,X
2022-W40,,X,,,,,,X,X,X,,,,,X,,X
2022-W41,,X,,,,,,,X,X,,,,,X,X,X
2022-W42,,X,,,,X,,,X,X,,,,,X,X,X
2022-W43,,X,,,,X,,,,X,,,,,X,X,X
2022-W44,,X,,,,X,,,,X,,,,,X,,X
2022-W45,,X,,,,X,,,X,X,,,,,,,X
2022-W46,,X,,,,X,,,X,X,X,,,,X,,X
2022-W47,,X,,,,X,,,,X,,,,,,,X
2022-W48,,,,,X,X,,,,X,,,,,,,X
2022-W49,,,,,,,,,,X,,,,,,,X
2023-W35,,,,X,,X,,,,,,,,,,,
2024-W27,,,,,,,,,X,,,,,,,,
2024-W32,,,,,,,,,,,,,X,,,,
2024-W33,,X,,,,X,,,,X,,,,,,X,X
2024-W34,,X,,,,X,,,X,X,,,X,,,X,X
2024-W35,,X,,,,X,,X,X,X,,,,,,X,X
2024-W36,,X,,,,X,,,X,X,X,,,,,X,X
2024-W37,,X,,,,X,,,X,X,X,,X,,,,X
2024-W38,,X,,,,,,,,X,X,,,,,X,X
2024-W39,,X,,,,X,,,,X,X,,,,,,X
2024-W40,,X,,,,X,,,,X,X,,,,,X,X
2024-W41,,X,,,,X,,,,X,X,,,,,X,X
2024-W42,,,,,,X,,,X,X,,,,,,,X
2024-W43,,,,,,,,,,X,,,,,,X,
2024-W44,,,,,,,,,,X,,,,,,X,
2024-W45,,,,,,,,,,X,,,,,,X,
2024-W46,,,,,,,,,,X,,,,,,,
