Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W22,,X,,,,,,,,,,,,,,,
2019-W24,,,,,,,,,,,,,,,,,X
2019-W25,,,,,,,,,,,,,,,,,X
2019-W26,,,,,,,,,,,,,,,,,X
2019-W27,,,,,,,,,,,,,,,,,X
2019-W28,,,,,,,,,,,,,,,,,X
2019-W30,,,,,,,,,,,,,X,,X,,
2019-W31,,,,,,,,,,,,,,,X,,X
2019-W32,,,,,,,,,,,,,,,,,X
2021-W24,,,,,,,,,,,X,,,,,,
2021-W25,X,X,,,,X,,,X,X,,,,X,X,X,X
2023-W20,,X,,,,,,,,X,,,,,,,
2023-W21,,X,,,,,,,,,,,,,,,
2023-W25,,X,,,,,,,,,,,,,,,
