Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W47,,,,,,,,,,X,,,,,,,
2018-W48,,,,,,,,,,X,,,,,,,
2018-W49,,,,,,,,,,,,,,,X,,
2019-W20,,,X,,,,,,,,,,,,,,
2019-W23,,,X,,,,,,,,,,,,X,,
2019-W25,,,X,,,,,,,,,,,,X,,
2019-W26,,,X,,,,,,,,,,,,,,
2019-W27,,,X,,,,,,,,,,,,,,
2019-W28,,,X,,,,,,X,,,,,,,,
2019-W29,,,X,,,,,,,,,,,,,,
2019-W32,,,,,,,,,X,,,,,,,,
2019-W33,,,X,,,,,,,,,,,,,,
2019-W34,,,X,,,,,,,,,,,,,,
2019-W35,,,X,,,,,,X,,,,,,,,
2019-W36,,,,,,,,,X,,,,,,,,
2019-W37,,,X,,,,,,X,,,,,,X,,
2019-W38,,,X,,,,,,X,,,,,,,,
2019-W40,,,X,,,,,,,,,,,,X,,
2019-W41,,,X,,,,,,,,,,,,X,,
2019-W42,,,X,,,,,,,,,,,,X,,
2019-W43,,,X,,,,,,,,,,,,X,,
2019-W44,,,X,,,,,,,,,,,,X,,
2019-W45,,,X,,,,,,,,,,,,X,,
2019-W46,,,X,,,,,,,X,,,,,,,
2019-W47,,,X,,,,,,X,,,,,,X,,
2019-W48,,,X,,,,,,X,,,,,,,,
2019-W49,,,X,,,,,,X,,,,,,X,,
2019-W50,,,X,,,,,,,,,,,,,,
2019-W51,,,X,,,,,,,,,,,,,,
2020-W08,,X,X,,,,,,X,,,,X,,,,
2020-W09,,X,,,,,,,X,,,,X,,,,
2020-W10,,X,X,,,,,,X,X,,,X,,,,
2020-W11,,,,,,,,,X,,,,X,,,,
2020-W12,,,,,,,,,X,,,,X,,,,
2020-W17,,,,,,,,,X,,,,,,,,
2021-W03,,,,,,,,,,X,,,,,,,
2021-W05,,,,,,,,,,X,,,,,,,X
2021-W06,,,,,,,,,,X,,,,,,,
2021-W07,,,,,,,,,X,X,,,,,,,
2021-W08,,,,,,,,,X,X,,,,,,,
2021-W09,,,,,,,,,X,X,,,,,,,
