Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2021-W07,X,,,,,,,,,,,,,X,,,
2021-W08,,X,X,,,,,,X,X,,,,,X,X,X
2021-W09,,X,X,,,X,,,X,X,,,,X,X,X,X
2021-W10,,X,X,,,X,,,X,,,,,X,,X,X
2021-W11,,X,X,,,X,,,,X,,,,X,X,X,X
2021-W12,X,X,X,,,,,,X,X,,,,X,X,X,X
2021-W13,,X,X,,,X,,,,X,,,,X,,,X
2021-W14,X,X,X,,,X,,,X,X,,,,X,,X,X
2021-W15,,X,X,,,X,,,X,X,X,,,X,,X,X
2021-W16,X,X,X,,,X,,,,X,X,,,X,X,X,X
2021-W17,,,,,,,,,X,,,,,,,,
2021-W18,,X,X,,,X,,,,X,X,,,X,,X,X
2021-W19,X,X,X,,,X,,,X,X,X,,,X,,X,X
2021-W20,X,X,X,,,X,,,,X,X,,,X,X,X,X
2021-W21,X,X,X,,,X,,,X,X,X,,,X,X,X,X
2021-W22,,X,X,,,X,,,X,X,X,,,X,,X,X
2021-W23,,X,X,,,X,,,X,X,,,X,X,X,X,X
