Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2022-W33,,X,,,,X,,,,,,,,,,,
2023-W28,,,,,,,,,,X,,,,,,,
2023-W29,,,,,,,,,,X,,,,,,,
2024-W24,,X,,,,,,,,,,,,,,,
2024-W25,,X,,,,,,,,,,,,,,,
2024-W26,,X,,,,,,,,,,,,,,,
2024-W27,,X,,,,,,,,,,,,,,,
2024-W28,,X,,,,,,,,,,,,,,,
2024-W29,,X,,,,,,,,,,,,,,,
2024-W30,,X,,,,,,,,,,,,,,,
2024-W31,,X,,,,,,,,,,,,,,,
2024-W32,,X,,,,,,,,,,,,,,,
2025-W22,,X,,,,,,,,,,,,,,,
2025-W23,,X,,,,,,,,,,,,,,,
2025-W25,,X,,,,,,,,,,,,,,,
2025-W26,,X,,,,,,,,,,,,,,,
2025-W27,,X,,,,,,,,,,,,,,,
2025-W28,,X,,,,,,,,,,,,,,,
2025-W29,,X,,,,,,,,,,,,,,,
