Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2018-W26,,X,,,,,,,X,,,,,,,,
2019-W23,,X,,,,,,,,,,,,,,,
2019-W24,,X,,,,,,,,,,,,,,,
2019-W25,,X,,,,,,,,,,,,,,,
2019-W26,,X,,,,,,,,,,,,,,,
2019-W27,,X,,,,,,,,,,,,,,,
2019-W28,,X,,,,,,,,,,,,,,,
2019-W29,,X,,,,,,,,,,,,,,,
2019-W30,,X,,,,,,,,,,,,,,,
2020-W25,,X,,,,,,,,,,,,,,,
2020-W27,,X,,,,,,,X,,,,,,,X,
2020-W28,,X,,,,,,,X,,,,,,,X,
2020-W29,,X,,,,,,,X,,,,,,,X,
2020-W30,,X,,,,,,,X,,,,,,,X,
2020-W33,,X,,,,,,,,,,,,,,X,
2020-W34,,X,,,,,,,,,,,,,,X,
2021-W23,,X,,,,,,,,X,,,,,,,
2021-W24,,X,,,,,,,,X,,,,,,X,
2021-W25,,X,,,,,,,,X,,,,,,X,
2021-W26,,X,,,,,,,,X,,,,,,X,
2021-W27,,,,,,,,,,X,,,X,,,X,X
2021-W28,,X,,,,,,,,X,,,,,,,
2021-W29,,X,,,,,,,,X,,,,,,,
2021-W30,,X,,,,,,,,X,,,,,,X,
2021-W31,,X,,,,,,,,X,,,,,,X,
2021-W32,,X,,,,,,,,X,,,,,,X,
2021-W34,,X,,,,,,,,X,,,,,,X,
2022-W22,,X,,,,,,,,,,,,,,,
2022-W23,,X,,,,,,,,,,,,,,,
2022-W24,,X,,,,,,,,,,,,,,,
2022-W25,,X,,,,,,,,,,,,,,,
2022-W26,,X,,,,,,,,,,,,,,,
2022-W28,,X,,,,,,,,,,,,,,,
2022-W29,,X,,,,,,,,,,,,,,,
2022-W31,,X,,,,,,,,,,,,,,,
2022-W32,,X,,,,,,,,,,,,,,,
2022-W34,,X,,,,,,,,,,,,,,,
2023-W22,,X,,,,,,,,,,,,,,,
2023-W23,,X,,,,,,,,,,,,,,,
2023-W24,,X,,,,,,,,,,,,,,,
2023-W25,,X,,,,,,,,X,,,,,,,
2023-W26,,X,,,,,,,,X,,,,,,,
2023-W27,,X,,,,,,,,X,,,,,,,
2023-W28,,X,,,,,,,,,,,,,,,
